code,description,chapter,phecode,rank
008.45,Intestinal infection due to Clostridium difficile,AB,008.52,34457
008.46,Intestinal infection due to other anaerobes,AB,008.5,39
008.47,Intestinal infection due to other gram-negative bacteria,AB,008.5,8
008.49,Intestinal infection due to other organisms,AB,008.5,499
008.5,"Bacterial enteritis, unspecified",AB,008.5,410
008.6,Enteritis due to specified virus,AB,008.6,30
008.61,Enteritis due to rotavirus,AB,008.6,1069
008.62,Enteritis due to adenovirus,AB,008.6,131
008.63,Enteritis due to norwalk virus,AB,008.6,97
008.64,Enteritis due to other small round viruses [SRV's],AB,008.6,5
008.65,Enteritis due to calicivirus,AB,008.6,
008.66,Enteritis due to astrovirus,AB,008.6,
008.67,Enteritis due to enterovirus nec,AB,008.6,103
008.69,Enteritis due to other viral enteritis,AB,008.6,9426
008.8,"Intestinal infection due to other organism, not elsewhere classified",AB,008.6,19811
009,Ill-defined intestinal infections,AB,008,65
009.0,"Infectious colitis, enteritis, and gastroenteritis",AB,008,7322
009.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",AB,008,601
009.2,Infectious diarrhea,AB,008,859
009.3,Diarrhea of presumed infectious origin,AB,008,180
01,"Incision and excision of skull, brain, and cerebral meninges",,,
01.0,Cranial puncture,,,
01.01,Cisternal puncture,,,3
01.02,Ventriculopuncture through previously implanted catheter,,,5578
01.09,Other cranial puncture,,,466
01.1,"Diagnostic procedures on skull, brain, and cerebral meninges",,,
01.10,Intracranial pressure monitoring,,,1729
01.11,Closed [percutaneous] [needle] biopsy of cerebral meninges,,,18
01.12,Open biopsy of cerebral meninges,,,91
01.13,Closed [percutaneous] [needle] biopsy of brain,,,1348
01.14,Open biopsy of brain,,,553
01.15,Biopsy of skull,,,89
01.16,Intracranial oxygen monitoring,,,
01.17,Brain temperature monitoring,,,
01.18,Other diagnostic procedures on brain and cerebral meninges,,,3462
01.19,Other diagnostic procedures on skull,,,17
01.2,Craniotomy and craniectomy,,,
01.20,Cranial implantation or replacement of neurostimulator pulse generator,,,326
01.21,Incision and drainage of cranial sinus,,,4
01.22,Removal of intracranial neurostimulator lead(s),,,512
01.23,Reopening of craniotomy site,,,528
01.24,Other craniotomy,,,2611
01.25,Other craniectomy,,,1453
01.26,Insertion of catheter(s) into cranial cavity or tissue,,,20
01.27,Removal of catheter(s) from cranial cavity or tissue,,,64
01.28,Placement of intracerebral catheter(s) via burr hole(s),,,38
01.29,Removal of cranial neurostimulator pulse generator,,,61
01.3,Incision of brain and cerebral meninges,,,
01.31,Incision of cerebral meninges,,,2519
01.32,Lobotomy and tractotomy,,,84
01.39,Other incision of brain,,,954
01.4,Operations on thalamus and globus pallidus,,,
01.41,Operations on thalamus,,,21
01.42,Operations on globus pallidus,,,8
01.5,Other excision or destruction of brain and meninges,,,
01.51,Excision of lesion or tissue of cerebral meninges,,,1762
01.52,Hemispherectomy,,,86
01.53,Lobectomy of brain,,,538
01.59,Other excision or destruction of lesion or tissue of brain,,,8228
01.6,Excision of lesion of skull,,,1222
010,Primary tuberculous infection,AB,010,16
010.0,Primary tuberculous infection,AB,010,3
010.00,"Primary tuberculous infection, unspecified",AB,010,76
010.01,"Primary tuberculous infection, bacteriological or histological examination not done",AB,010,5
010.02,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",AB,010,16
010.03,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",AB,010,
010.04,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,2
010.05,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,6
010.06,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,17
010.1,Tuberculous pleurisy in primary progressive tuberculosis,AB,010,
010.10,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",AB,010,2
010.11,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",AB,010,
010.12,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",AB,010,1
010.13,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",AB,010,
010.14,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
010.15,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
010.16,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
010.8,Other primary progressive tuberculosis,AB,010,
010.80,"Other primary progressive tuberculosis, unspecified",AB,010,8
010.81,"Other primary progressive tuberculosis, bacteriological or histological examination not done",AB,010,
010.82,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",AB,010,2
010.83,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",AB,010,
010.84,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
010.85,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,3
010.86,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,2
010.9,"Primary tuberculous infection, unspecified type",AB,010,2
010.90,"Primary tuberculous infection, unspecified, unspecified",AB,010,74
010.91,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",AB,010,3
010.92,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",AB,010,1
010.93,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",AB,010,15
010.94,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
010.95,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
010.96,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
011,Pulmonary tuberculosis,AB,010,3
011.0,"Tuberculosis of lung, infiltrative",AB,010,7
011.00,"Tuberculosis of lung, infiltrative, unspecified",AB,010,104
011.01,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",AB,010,2
011.02,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",AB,010,4
011.03,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",AB,010,102
011.04,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,12
011.05,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,10
011.06,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,3
011.1,"Tuberculosis of lung, nodular",AB,010,1
011.10,"Tuberculosis of lung, nodular, unspecified",AB,010,13
011.11,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",AB,010,
011.12,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",AB,010,1
011.13,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",AB,010,3
011.14,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,1
011.15,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,10
011.16,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,1
011.2,Tuberculosis of lung with cavitation,AB,010,
011.20,"Tuberculosis of lung with cavitation, unspecified",AB,010,142
011.21,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",AB,010,
011.22,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",AB,010,16
011.23,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",AB,010,43
011.24,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,34
011.25,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,8
011.26,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,26
011.3,Tuberculosis of bronchus,AB,010,1
011.30,"Tuberculosis of bronchus, unspecified",AB,010,
011.31,"Tuberculosis of bronchus, bacteriological or histological examination not done",AB,010,
011.32,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",AB,010,1
011.33,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",AB,010,
011.34,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",AB,010,
011.35,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
011.36,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
011.4,Tuberculous fibrosis of lung,AB,010,
011.40,"Tuberculous fibrosis of lung, unspecified",AB,010,3
011.41,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",AB,010,
011.42,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",AB,010,
011.43,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",AB,010,
011.44,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
011.45,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
011.46,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,2
011.5,Tuberculous bronchiectasis,AB,010,
011.50,"Tuberculous bronchiectasis, unspecified",AB,010,4
011.51,"Tuberculous bronchiectasis, bacteriological or histological examination not done",AB,010,
011.52,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",AB,010,
011.53,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",AB,010,
011.54,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
011.55,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,1
011.56,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,1
011.6,Tuberculous pneumonia [any form],AB,010,4
011.60,"Tuberculous pneumonia [any form], unspecified",AB,010,49
011.61,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",AB,010,1
011.62,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",AB,010,8
011.63,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",AB,010,8
011.64,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,9
011.65,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
011.66,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,8
011.7,Tuberculous pneumothorax,AB,010,
011.70,"Tuberculous pneumothorax, unspecified",AB,010,1
011.71,"Tuberculous pneumothorax, bacteriological or histological examination not done",AB,010,
011.72,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",AB,010,2
011.73,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",AB,010,2
011.74,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
011.75,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
011.76,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
011.8,Other specified pulmonary tuberculosis,AB,010,
011.80,"Other specified pulmonary tuberculosis, unspecified",AB,010,64
011.81,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",AB,010,2
011.82,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",AB,010,8
011.83,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",AB,010,35
011.84,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,4
011.85,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,7
011.86,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,10
011.9,Unspecified pulmonary tuberculosis,AB,010,14
011.90,"Pulmonary tuberculosis, unspecified, unspecified",AB,010,2477
011.91,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",AB,010,19
011.92,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",AB,010,62
011.93,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",AB,010,181
011.94,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,116
011.95,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,29
011.96,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,110
012,Other respiratory tuberculosis,AB,010,3
012.0,Tuberculous pleurisy,AB,010,5
012.00,"Tuberculous pleurisy, unspecified",AB,010,75
012.01,"Tuberculous pleurisy, bacteriological or histological examination not done",AB,010,9
012.02,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",AB,010,6
012.03,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",AB,010,6
012.04,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,2
012.05,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,4
012.06,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,10
012.1,Tuberculosis of intrathoracic lymph nodes,AB,010,
012.10,"Tuberculosis of intrathoracic lymph nodes, unspecified",AB,010,130
012.11,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",AB,010,
012.12,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",AB,010,3
012.13,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",AB,010,2
012.14,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
012.15,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
012.16,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,1
012.2,Isolated tracheal or bronchial tuberculosis,AB,010,
012.20,"Isolated tracheal or bronchial tuberculosis, unspecified",AB,010,2
012.21,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",AB,010,
012.22,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",AB,010,
012.23,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",AB,010,
012.24,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
012.25,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
012.26,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
012.3,Tuberculous laryngitis,AB,010,
012.30,"Tuberculous laryngitis, unspecified",AB,010,2
012.31,"Tuberculous laryngitis, bacteriological or histological examination not done",AB,010,
012.32,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",AB,010,
012.33,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",AB,010,5
012.34,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
012.35,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
012.36,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,2
012.8,Other specified respiratory tuberculosis,AB,010,
012.80,"Other specified respiratory tuberculosis, unspecified",AB,010,98
012.81,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",AB,010,
012.82,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",AB,010,4
012.83,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",AB,010,2
012.84,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,21
012.85,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,2
012.86,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,
013,Tuberculosis of meninges and central nervous system,AB,010,
013.0,Tuberculous meningitis,AB,010,
013.00,"Tuberculous meningitis, unspecified",AB,010,238
013.01,"Tuberculous meningitis, bacteriological or histological examination not done",AB,010,
013.02,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",AB,010,10
013.03,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",AB,010,5
013.04,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,16
013.05,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,4
013.06,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",AB,010,13
013.1,Tuberculoma of meninges,AB,010,
013.10,"Tuberculoma of meninges, unspecified",AB,010,
013.11,"Tuberculoma of meninges, bacteriological or histological examination not done",AB,010,
013.12,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",AB,010,
013.13,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",AB,010,
013.14,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",AB,010,
013.15,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",AB,010,
